cust_id,name,tier,email,phone,card_last4,ssn_hash,location,household_id,tenure_months,annual_spend_usd,preferred_channel,digital_affinity,support_dependence,patience,spend_propensity,travel_intensity,n_journeys,n_events,churned_30d,churn_probability,risk_segment
CUST_PREMIUM_001001,Isla Sato,Green,isla.sato0@bluepeak.co,+1 (718) 354-1000,8374,2989b406d8,"Delhi, India",HH_SINGLE_000000,155,4557.45,app,0.9684,0.3153,0.115,0.6546,0.6388,8,10,False,0.1008,low
CUST_PREMIUM_001002,Priya Ramirez,Gold,p.ramirez@atlasmail.net,+1 (404) 325-8919,2334,551dd2e3d1,"Atlanta, GA",HH_SINGLE_000001,121,15547.59,app,0.5065,0.4422,0.6523,0.5423,0.4776,12,22,False,0.301,medium
CUST_PREMIUM_001003,Leo Brown,Gold,brown.leo@bluepeak.co,+1 (617) 351-6838,1093,1c38d3d7dd,"Boston, MA",HH_SINGLE_000002,23,104697.68,app,0.3143,0.6701,0.284,0.4196,0.4978,3,3,False,0.0348,low
CUST_PREMIUM_001004,Sara Baker,Green,s.baker@vectorlabs.co,+1 (214) 355-4757,6296,5b8fd97d56,"Dallas, TX",HH_00001,107,13928.21,call_center,0.6151,0.544,0.7976,0.5362,0.4415,11,16,False,0.2089,medium
CUST_PREMIUM_001005,Olivia Bennett,Gold,o.bennett@orchardmail.com,+1 (212) 348-2676,1542,358c3e590c,"New York, NY",HH_SINGLE_000004,73,44559.16,web,0.5501,0.5241,0.4171,0.6667,0.6589,4,7,False,0.1785,low
CUST_PREMIUM_001006,Sara Young,Green,sara.young5@orchardmail.com,+1 (404) 473-0595,0479,13b25227c2,"Atlanta, GA",HH_SINGLE_000005,45,7511.23,app,0.0522,0.4749,0.5537,0.2075,0.233,2,5,False,0.0592,low
CUST_PREMIUM_001007,Amelia Roy,Platinum,amelia.roy6@northstar.org,+1 (404) 510-8514,2981,474d4a051b,"Atlanta, GA",HH_SINGLE_000006,35,28625.11,app,0.8001,0.8458,0.7223,0.624,0.9177,12,19,False,0.2808,medium
CUST_PREMIUM_001008,Sophia Hernandez,Green,sophiahernandez@northstar.org,+1 (202) 558-6433,6419,804376e796,"Washington, DC",HH_SINGLE_000007,24,11449.47,app,0.3839,0.1757,0.1546,0.1476,0.2822,8,12,False,0.1599,low
CUST_PREMIUM_001009,David Lee,Green,david.lee@atlasmail.net,+1 (650) 628-4352,8814,ac1b6834b8,Singapore,HH_SINGLE_000008,30,5199.77,call_center,0.7335,0.2636,0.3004,0.2316,0.4242,4,5,False,0.0783,low
CUST_PREMIUM_001010,Kabir Campbell,Gold,k.campbell@vectorlabs.co,+1 (310) 544-2271,6470,9134956180,"Los Angeles, CA",HH_SINGLE_000009,50,85093.26,call_center,0.5337,0.6075,0.0615,0.3351,0.896,6,9,False,0.2068,medium
CUST_PREMIUM_001011,Emma Kumar,Platinum,emma.kumar10@summitmail.net,+1 (212) 570-0190,9671,b55aa19aa9,"New York, NY",HH_SINGLE_000010,98,72412.98,app,0.3574,0.8632,0.0891,0.1411,0.3723,6,17,False,0.6923,high
CUST_PREMIUM_001012,Liam Sterling,Gold,sterling.liam@vectorlabs.co,+1 (404) 695-8109,9899,b548838737,"Atlanta, GA",HH_SINGLE_000011,111,14061.27,web,0.6254,0.5059,0.5811,0.3048,0.5305,5,10,False,0.1006,low
CUST_PREMIUM_001013,Chloe Ito,Platinum,chloe.ito@vectorlabs.co,+1 (404) 732-6028,9838,d99c1ec519,"Atlanta, GA",HH_SINGLE_000012,101,73141.49,web,0.6738,0.3418,0.678,0.7634,0.2409,14,21,False,0.1691,low
CUST_PREMIUM_001014,Isabella Hall,Platinum,isabellahall@orchardmail.com,+1 (202) 780-3947,8290,0167b54046,"Washington, DC",HH_00004,59,24040.86,call_center,0.1027,0.4321,0.4211,0.3431,0.169,8,14,False,0.1974,low
CUST_PREMIUM_001015,Ibrahim Shah,Gold,ibrahim.shah@example.com,+1 (212) 718-1866,2421,bc0c5818cd,"New York, NY",HH_SINGLE_000014,24,60122.79,app,0.4327,0.1457,0.9479,0.7331,0.8672,4,5,False,0.0383,low
CUST_PREMIUM_001016,Sophia Baker,Green,baker.sophia@harbor.example,+1 (310) 766-9785,7599,0df1357a23,"Los Angeles, CA",HH_00005,53,5668.49,web,0.6667,0.5111,0.3141,0.2423,0.4181,14,27,True,0.7805,high
CUST_PREMIUM_001017,Liam Evans,Gold,l.evans@harbor.example,+1 (212) 792-7704,9838,a6438bace1,"New York, NY",HH_SINGLE_000016,77,17931.4,call_center,0.3089,0.4279,0.3671,0.2136,0.3237,7,10,False,0.1436,low
CUST_PREMIUM_001018,Leo Young,Gold,leo.young17@example.com,+1 (646) 239-5623,2461,8efb692e18,"London, UK",HH_SINGLE_000017,34,21906.67,in_person,0.679,0.1549,0.7372,0.843,0.5148,1,1,False,0.0114,low
CUST_PREMIUM_001019,Grace Singh,Platinum,gracesingh@capital-demo.org,+1 (305) 221-3542,2513,b83cf25afb,"Miami, FL",HH_00006,130,20020.56,web,0.4979,0.1831,0.3998,0.5207,0.084,5,7,False,0.0756,low
CUST_PREMIUM_001020,Aarav Robinson,Gold,aaravrobinson@bluepeak.co,+1 (650) 335-1461,9649,90ae02916c,Singapore,HH_00006,47,8941.59,call_center,0.1878,0.6453,0.4247,0.295,0.1996,8,11,True,0.1338,low
