source,target,rel_type,type,owner_cust_id
CUST_PREMIUM_001001,isla.sato0@bluepeak.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001001
CUST_PREMIUM_001001,+1 (718) 354-1000,PRIMARY_PHONE,phone,CUST_PREMIUM_001001
CUST_PREMIUM_001001,8374,ISSUED_CARD,card_last4,CUST_PREMIUM_001001
isla.sato0@bluepeak.co,ck_cf9c50ac51,SESSION_COOKIE,cookie,CUST_PREMIUM_001001
isla.sato0@bluepeak.co,dev_364a6b14f1,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001001
CUST_PREMIUM_001002,p.ramirez@atlasmail.net,PRIMARY_EMAIL,email,CUST_PREMIUM_001002
CUST_PREMIUM_001002,+1 (404) 325-8919,PRIMARY_PHONE,phone,CUST_PREMIUM_001002
CUST_PREMIUM_001002,2334,ISSUED_CARD,card_last4,CUST_PREMIUM_001002
p.ramirez@atlasmail.net,ck_abe4c2a0fb,SESSION_COOKIE,cookie,CUST_PREMIUM_001002
p.ramirez@atlasmail.net,ck_af9dc7e5ab,SESSION_COOKIE,cookie,CUST_PREMIUM_001002
p.ramirez@atlasmail.net,ck_568983c699,SESSION_COOKIE,cookie,CUST_PREMIUM_001002
p.ramirez@atlasmail.net,ck_4c648af672,SESSION_COOKIE,cookie,CUST_PREMIUM_001002
p.ramirez@atlasmail.net,dev_93634104a1,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001002
CUST_PREMIUM_001003,brown.leo@bluepeak.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001003
CUST_PREMIUM_001003,+1 (617) 351-6838,PRIMARY_PHONE,phone,CUST_PREMIUM_001003
CUST_PREMIUM_001003,1093,ISSUED_CARD,card_last4,CUST_PREMIUM_001003
brown.leo@bluepeak.co,ck_2ad4fc2a7d,SESSION_COOKIE,cookie,CUST_PREMIUM_001003
brown.leo@bluepeak.co,ck_2340156543,SESSION_COOKIE,cookie,CUST_PREMIUM_001003
