id,type,val,owner_cust_id
CUST_PREMIUM_001001,cust_id,CUST_PREMIUM_001001,CUST_PREMIUM_001001
isla.sato0@bluepeak.co,email,isla.sato0@bluepeak.co,CUST_PREMIUM_001001
+1 (718) 354-1000,phone,+1 (718) 354-1000,CUST_PREMIUM_001001
8374,card_last4,Card *8374,CUST_PREMIUM_001001
ck_cf9c50ac51,cookie,ck_cf9c50ac51,CUST_PREMIUM_001001
dev_364a6b14f1,device_id,dev_364a6b14f1,CUST_PREMIUM_001001
CUST_PREMIUM_001002,cust_id,CUST_PREMIUM_001002,CUST_PREMIUM_001002
p.ramirez@atlasmail.net,email,p.ramirez@atlasmail.net,CUST_PREMIUM_001002
+1 (404) 325-8919,phone,+1 (404) 325-8919,CUST_PREMIUM_001002
2334,card_last4,Card *2334,CUST_PREMIUM_001002
ck_abe4c2a0fb,cookie,ck_abe4c2a0fb,CUST_PREMIUM_001002
ck_af9dc7e5ab,cookie,ck_af9dc7e5ab,CUST_PREMIUM_001002
ck_568983c699,cookie,ck_568983c699,CUST_PREMIUM_001002
ck_4c648af672,cookie,ck_4c648af672,CUST_PREMIUM_001002
dev_93634104a1,device_id,dev_93634104a1,CUST_PREMIUM_001002
CUST_PREMIUM_001003,cust_id,CUST_PREMIUM_001003,CUST_PREMIUM_001003
brown.leo@bluepeak.co,email,brown.leo@bluepeak.co,CUST_PREMIUM_001003
+1 (617) 351-6838,phone,+1 (617) 351-6838,CUST_PREMIUM_001003
1093,card_last4,Card *1093,CUST_PREMIUM_001003
ck_2ad4fc2a7d,cookie,ck_2ad4fc2a7d,CUST_PREMIUM_001003
ck_2340156543,cookie,ck_2340156543,CUST_PREMIUM_001003
dev_a70eb03805,device_id,dev_a70eb03805,CUST_PREMIUM_001003
dev_shared_a09add667,device_id,dev_shared_a09add667,CUST_PREMIUM_001003
CUST_PREMIUM_001004,cust_id,CUST_PREMIUM_001004,CUST_PREMIUM_001004
s.baker@vectorlabs.co,email,s.baker@vectorlabs.co,CUST_PREMIUM_001004
+1 (214) 355-4757,phone,+1 (214) 355-4757,CUST_PREMIUM_001004
6296,card_last4,Card *6296,CUST_PREMIUM_001004
ck_546e1a5aa2,cookie,ck_546e1a5aa2,CUST_PREMIUM_001004
ck_a4112e7072,cookie,ck_a4112e7072,CUST_PREMIUM_001004
dev_68900b1ec1,device_id,dev_68900b1ec1,CUST_PREMIUM_001004
CUST_PREMIUM_001005,cust_id,CUST_PREMIUM_001005,CUST_PREMIUM_001005
o.bennett@orchardmail.com,email,o.bennett@orchardmail.com,CUST_PREMIUM_001005
+1 (212) 348-2676,phone,+1 (212) 348-2676,CUST_PREMIUM_001005
1542,card_last4,Card *1542,CUST_PREMIUM_001005
ck_b3950b7e73,cookie,ck_b3950b7e73,CUST_PREMIUM_001005
dev_5e3aa13048,device_id,dev_5e3aa13048,CUST_PREMIUM_001005
